Cycle,Battery#7,#7_SOH,Battery#8,#8_SOH,Battery#9,#9_SOH
1,1.0665728,0.9696116359999999,1.0636606000000002,0.966964182,1.063777,0.9670700000000001
2,1.0674551,0.9704137270000001,1.0647362,0.967942,1.0650502,0.968227455
3,1.0682848999999999,0.9711680909999999,1.0656181999999998,0.968743818,1.065752,0.968865455
4,1.0687084,0.971553091,1.0662173000000001,0.969288455,1.066355,0.969413636
5,1.0690936000000002,0.971903273,1.0665767,0.9696151820000001,1.0665586999999999,0.9695988179999999
6,1.069415,0.972195455,1.0669743999999999,0.969976727,1.0668859,0.9698962729999999
7,1.0697305000000001,0.972482273,1.067187,0.9701700000000001,1.0670462,0.970042
8,1.0699873,0.972715727,1.0675483000000001,0.970498455,1.0673006999999999,0.9702733640000001
9,1.0702368999999998,0.972942636,1.0677196000000002,0.970654182,1.0673895,0.9703540909999999
10,1.0704191,0.973108273,1.0679353,0.9708502729999999,1.0675322,0.9704838179999999
11,1.0704424,0.973129455,1.0680143999999998,0.970922182,1.0676036,0.970548727
12,1.0705919,0.9732653640000001,1.0679934,0.9709030909999999,1.0675582000000001,0.970507455
13,1.0705655,0.973241364,1.0681455,0.9710413640000001,1.0676333,0.970575727
14,1.0704837,0.973167,1.0681577,0.971052455,1.0677133,0.970648455
15,1.0706061000000002,0.9732782729999999,1.0683548,0.971231636,1.0678315,0.9707559090000001
16,1.0706448999999998,0.973313545,1.0684052,0.971277455,1.0679266,0.970842364
17,1.0707958,0.973450727,1.0683966,0.9712696359999999,1.0679874,0.9708976359999999
18,1.0708847,0.973531545,1.0684268,0.971297091,1.0680083,0.9709166359999999
19,1.0707641,0.973421909,1.0684555,0.971323182,1.0679822,0.970892909
20,1.0708299,0.973481727,1.0683903000000001,0.971263909,1.0679505,0.9708640909999999
21,1.0708976000000001,0.973543273,1.0685091,0.971371909,1.0680176000000001,0.9709250909999999
22,1.070961,0.9736009090000001,1.0685432,0.971402909,1.0679858999999998,0.9708962729999999
23,1.0708232,0.973475636,1.0685198999999999,0.971381727,1.0680346,0.970940545
24,1.0707258999999998,0.9733871820000001,1.0684477,0.9713160909999999,1.0680013000000002,0.970910273
25,1.0708826,0.973529636,1.0685261000000001,0.971387364,1.0680106000000003,0.970918727
26,1.0707502,0.973409273,1.0684638000000002,0.971330727,1.0679696,0.970881455
27,1.0709372,0.973579273,1.0684360000000002,0.971305455,1.0679426,0.9708569090000001
28,1.0711445,0.973767727,1.0683316999999999,0.9712106359999999,1.0679771,0.970888273
29,1.0713712,0.9739738179999999,1.068195,0.971086364,1.0680169,0.970924455
