Cycle,Battery#4,#4_SOH,Battery#5,#5_SOH,Battery#6,#6_SOH
1,1.0639789,0.967253545,1.0640886999999999,0.967353364,1.0733846000000002,0.9758041820000001
2,1.0679682,0.970880182,1.0672674,0.970243091,1.0766411,0.978764636
3,1.0691004,0.971909455,1.0688325,0.971665909,1.0789365,0.9808513640000001
4,1.0696261999999999,0.972387455,1.0697515,0.9725013640000001,1.0798079,0.981643545
5,1.0712153999999998,0.973832182,1.0698761,0.972614636,1.079951,0.9817736359999999
6,1.0707663,0.9734239090000001,1.070374,0.973067273,1.0807364,0.9824876359999999
7,1.0707738000000002,0.973430727,1.0706325,0.9733022729999999,1.0809997,0.982727
8,1.0710950000000001,0.9737227270000001,1.0705343,0.9732129999999999,1.0806683000000001,0.9824257270000001
9,1.0709443,0.973585727,1.0709518,0.973592545,1.0813093999999999,0.983008545
10,1.0710604,0.973691273,1.0712485,0.973862273,1.0814238,0.983112545
11,1.0713583999999998,0.9739621820000001,1.0710331,0.973666455,1.0813167,0.983015182
12,1.0712141000000002,0.973831,1.0712363999999999,0.973851273,1.0817633999999998,0.9834212729999999
13,1.0713692,0.973972,1.0713369,0.973942636,1.0819823,0.983620273
14,1.0718961999999999,0.9744510909999999,1.0714058000000002,0.974005273,1.0818508,0.983500727
15,1.071841,0.9744009090000001,1.0716377000000001,0.974216091,1.0821421,0.983765545
16,1.0715246999999999,0.974113364,1.0716072,0.9741883640000001,1.082031,0.983664545
17,1.0720402,0.974582,1.0716735000000002,0.9742486359999999,1.0821618999999998,0.983783545
18,1.0720887,0.974626091,1.0718265,0.974387727,1.0823764,0.983978545
19,1.0722002,0.974727455,1.0719858,0.974532545,1.0817807,0.9834370000000001
20,1.0723301,0.974845545,1.071927,0.974479091,1.0823167999999999,0.983924364
21,1.0723156,0.9748323640000001,1.071977,0.974524545,1.0823691,0.9839719090000001
22,1.0726935,0.9751759090000001,1.0718054,0.974368545,1.081831,0.9834827270000001
23,1.0724049999999998,0.9749136359999999,1.0719068,0.9744607270000001,1.0821751,0.983795545
24,1.0724416,0.974946909,1.0719771,0.9745246359999999,1.0823056999999998,0.983914273
25,1.0729171999999998,0.9753792729999999,1.0716343000000002,0.9742129999999999,1.0818207,0.9834733640000001
26,1.0726565000000001,0.975142273,1.0720184,0.974562182,1.0823706,0.9839732729999999
27,1.0729313,0.9753920909999999,1.0720907,0.9746279090000001,1.0825263,0.984114818
28,1.0730788,0.9755261820000001,1.0717306,0.974300545,1.0819838,0.983621636
29,1.0727284,0.9752076359999999,1.071992,0.974538182,1.0823770000000001,0.9839790909999999
30,1.0726992,0.9751810909999999,1.0720288999999998,0.974571727,1.0822916999999999,0.983901545
31,1.0725735,0.975066818,1.0716763999999999,0.9742512729999999,1.0820007,0.9836370000000001
32,1.0726168,0.975106182,1.0718075,0.974370455,1.0824690000000001,0.9840627270000001
33,1.0721896999999998,0.9747179090000001,1.0716921999999998,0.9742656359999999,1.0824492000000001,0.984044727
34,1.0725096,0.9750087270000001,1.071767,0.9743336359999999,1.0824075,0.984006818
35,1.0720521,0.974592818,1.0716639,0.974239909,1.0825063,0.984096636
